link	university	language	plataform	title
http://ocw.uc3m.es/biblioteconomia-y-documentacion/gestion-de-recursos-en-bibliotecas-y-unidades-de-informacion	Universidad Carlos III de Madrid	Spanish	eduCommons	Gestión de recursos en bibliotecas y unidades de información
http://ocw.uc3m.es/biblioteconomia-y-documentacion/industrias-de-la-lengua	Universidad Carlos III de Madrid	Spanish	eduCommons	Industrias de la lengua
http://ocw.uc3m.es/biblioteconomia-y-documentacion/la-biblioteca-en-la-palma-de-la-mano	Universidad Carlos III de Madrid	Spanish	eduCommons	La Biblioteca en la Palma de la Mano (2011)
http://ocw.uc3m.es/biblioteconomia-y-documentacion/organizacion-y-administracion-de-unidades-de-informacion	Universidad Carlos III de Madrid	Spanish	eduCommons	Organización y administración de unidades de información
http://ocw.uc3m.es/biblioteconomia-y-documentacion/recursos-tecnologicos-en-la-biblioteca-digital	Universidad Carlos III de Madrid	Spanish	eduCommons	Recursos Tecnológicos en la Biblioteca Digital (2011)
http://ocw.uc3m.es/ciencia-e-oin/caracterizacion-de-materiales	Universidad Carlos III de Madrid	Spanish	eduCommons	Caracterización de materiales
http://ocw.uc3m.es/ciencia-e-oin/ceramicas-y-vidrios	Universidad Carlos III de Madrid	Spanish	eduCommons	Cerámicas y vidrios
http://ocw.uc3m.es/ciencia-e-oin/materials-science-and-engineering	Universidad Carlos III de Madrid	English	eduCommons	Materials Science and Engineering
http://ocw.uc3m.es/ciencia-e-oin/microscopia-de-fuerza-atomica	Universidad Carlos III de Madrid	Spanish	eduCommons	Microscopía de Fuerza Atómica
http://ocw.uc3m.es/ciencia-e-oin/quimica-de-los-materiales	Universidad Carlos III de Madrid	Spanish	eduCommons	Química de los materiales (2008)
http://ocw.uc3m.es/ciencia-e-oin/tecnologia-de-materiales-industriales	Universidad Carlos III de Madrid	Spanish	eduCommons	Tecnología de materiales industriales
http://ocw.uc3m.es/ciencia-e-oin/tecnologia-de-polvos	Universidad Carlos III de Madrid	Spanish	eduCommons	Tecnología de polvos
http://ocw.uc3m.es/cursos-cero/matematicas-aplicadas-a-las-ciencias-sociales	Universidad Carlos III de Madrid	Spanish	eduCommons	Matemáticas Aplicadas a las Ciencias Sociales (2011)
http://ocw.uc3m.es/cursos-cero/matematicas-basicas-en-ingenieria	Universidad Carlos III de Madrid	Spanish	eduCommons	Matemáticas Básicas en Ingeniería (2011)
http://ocw.uc3m.es/cursos-cero/matematicas-mathbridge	Universidad Carlos III de Madrid	Spanish	eduCommons	Matemática introductoria para el Grado en Ingeniería Informática (2011)
http://ocw.uc3m.es/cursos-cero/principios-basicos-de-fisica	Universidad Carlos III de Madrid	Spanish	eduCommons	Principios Básicos de Física (2011)
http://ocw.uc3m.es/cursos-cero/principios-basicos-de-quimica	Universidad Carlos III de Madrid	Spanish	eduCommons	Principios Básicos de Química (2011)
http://ocw.uc3m.es/derecho-administrativo/accion-administrativa	Universidad Carlos III de Madrid	Spanish	eduCommons	La Acción Administrativa en Sectores Específicos
http://ocw.uc3m.es/derecho-administrativo/contratacion-y-medios-de-las-administraciones-publicas	Universidad Carlos III de Madrid	Spanish	eduCommons	Contratación y Medios de las Administraciones Públicas
http://ocw.uc3m.es/derecho-administrativo/instituciones-basicas-del-derecho-administrativo	Universidad Carlos III de Madrid	Spanish	eduCommons	Instituciones Básicas del Derecho Administrativo
http://ocw.uc3m.es/derecho-administrativo/organizacion-y-actividad-de-las-administraciones-publicas	Universidad Carlos III de Madrid	Spanish	eduCommons	Organización y Actividad de las Administraciones Públicas
http://ocw.uc3m.es/derecho-eclesiastico-del-estado/derecho-y-religion-en-europa	Universidad Carlos III de Madrid	Spanish	eduCommons	Derecho y Religión en Europa
http://ocw.uc3m.es/derecho-privado/derecho-de-las-corporativas	Universidad Carlos III de Madrid	Spanish	eduCommons	Derecho de las Cooperativas
http://ocw.uc3m.es/derecho-privado/derecho-de-sociedades-curso-basico-sobre-la-sociedad-anonima	Universidad Carlos III de Madrid	Spanish	eduCommons	Derecho de Sociedades: curso básico sobre la Sociedad Anónima
http://ocw.uc3m.es/derecho-privado/la-tutela-de-los-consumidores-y-usuarios-ante-la-comunicacion-ilicita	Universidad Carlos III de Madrid	Spanish	eduCommons	La tutela de los consumidores y usuarios ante la comunicación ilícita
http://ocw.uc3m.es/derecho-privado/mujeres-de-la-literatura-y-la-historia-de-roma	Universidad Carlos III de Madrid	Spanish	eduCommons	Mujeres de la Literatura y la Historia de Roma
http://ocw.uc3m.es/derecho-procesal/introduccion-al-derecho-procesal	Universidad Carlos III de Madrid	Spanish	eduCommons	Introducción al Derecho Procesal
